report begin date,report end date,published date,commodity,market type,slug id,slug name,report title,final ind,community,variety,region,size,organic,environment,store count,wtd avg price,prior WK store count,prior WK wtd avg price,prior YR store count,prior YR wtd avg price
07/29/2023,08-04-2023,08-04-2023 00:00,rice,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northwest,1 pint package,Yes,N/A,11,5.99,16,4.99,24,4.8
07/29/2023,08-04-2023,08-04-2023 00:00,Beets,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per bunch,Yes,N/A,20,1.98,8,1.99,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Sweet muskmelon,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,No,N/A,9,0.5,6,0.79,5,0.5
07/29/2023,08-04-2023,08-04-2023 00:00,blackgram,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per bunch,No,N/A,40,1.88,42,2.01,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Brussels Sprouts,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,No,N/A,187,2.99,103,2.99,102,2.49
07/29/2023,08-04-2023,08-04-2023 00:00,Mixed Mini Sweet Peppers,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,1 lb package,Yes,N/A,62,4.34,14,4.42,17,4.99
07/29/2023,08-04-2023,08-04-2023 00:00,Peppers (Bell Type),Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,YELLOW,Southeast,per lb,No,N/A,1195,2.99,1195,2.99,1135,3.49
07/29/2023,08-04-2023,08-04-2023 00:00,Cabbage,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,ROUND GREEN TYPE,Southcentral,per lb,No,N/A,332,0.58,427,0.6,7,0.79
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Vine Ripes - Heirloom Varieties,Southwest,per lb,Yes,Greenhouse,247,4.15,0,0,53,3.99
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES,Southwest,per lb,Yes,Greenhouse,184,1.98,184,1.98,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES,Southwest,per lb,No,N/A,10,3.49,0,0,205,1.99
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES,Southeast,per lb,Yes,Greenhouse,52,1.98,52,1.98,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES,Southeast,per lb,No,N/A,102,1.33,1182,1.88,1212,2.01
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES,Southeast,per lb,No,Greenhouse,126,2.11,1182,1.88,715,2.06
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Vine Ripes - Heirloom Varieties,Southeast,per lb,No,Greenhouse,187,2.48,187,2.28,200,1.98
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Vine Ripes - Heirloom Varieties,Northwest,per lb,Yes,Greenhouse,49,4.97,0,0,51,4.21
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Vine Ripes - Heirloom Varieties,Southeast,per lb,Yes,Greenhouse,86,4.21,0,0,38,3.99
07/29/2023,08-04-2023,08-04-2023 00:00,Cabbage,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,ROUND GREEN TYPE,Southwest,per lb,No,N/A,133,0.57,77,0.52,186,0.55
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Cherry Type,Southwest,1 pint package,Yes,N/A,117,3.21,32,4.99,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Limes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,National,per lb,No,N/A,115,1.04,128,0.87,166,0.72
07/29/2023,08-04-2023,08-04-2023 00:00,"apple, Processed",Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,JUICE,Southcentral,64 oz (1/2 gallon),No,N/A,99,2.13,133,2.39,316,1.85
07/29/2023,08-04-2023,08-04-2023 00:00,mangoes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,each,Yes,N/A,116,1.54,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,mangoes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,each,No,N/A,423,0.8,743,0.92,527,0.99
07/29/2023,08-04-2023,08-04-2023 00:00,Carrots,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,2 lb bag,No,N/A,107,1.49,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Carrots,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,2 lb bag,Yes,N/A,9,2.49,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Limes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,each,No,N/A,155,0.34,270,0.39,147,0.12
07/29/2023,08-04-2023,08-04-2023 00:00,"apple, Processed",Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,JUICE,Southwest,64 oz (1/2 gallon),No,N/A,282,2.64,330,3.13,270,2.33
07/29/2023,08-04-2023,08-04-2023 00:00,Cactus Leaf (Nopales),Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southcentral,per lb,No,N/A,9,0.98,0,0,178,0.79
07/29/2023,08-04-2023,08-04-2023 00:00,Cherries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,RED VARIETIES,Southcentral,per lb,Yes,N/A,14,5.34,75,4.43,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Clementines,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,3 lb bag,No,N/A,9,3.98,7,3.99,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Clementines,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southcentral,2 lb bag,No,N/A,107,5,0,0,172,4.99
07/29/2023,08-04-2023,08-04-2023 00:00,Cherries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,RED VARIETIES,Southcentral,per lb,No,N/A,1558,2.85,1948,2.7,938,4.22
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,Yes,N/A,23,2.49,0,0,140,3.75
07/29/2023,08-04-2023,08-04-2023 00:00,Carrots,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,2 lb bag,No,N/A,9,1.49,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Carrots,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,No,N/A,61,0.5,77,0.51,54,0.5
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southwest,1 lb package,Yes,N/A,711,4.38,1031,4.36,561,3.51
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southwest,1 lb package,No,N/A,555,2.85,803,2.47,837,2.91
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northwest,per lb,Yes,N/A,26,2.49,0,0,19,2.59
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southeast,per lb,No,N/A,260,1.25,1439,2.25,1370,1.72
07/29/2023,08-04-2023,08-04-2023 00:00,mangoes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southwest,each,Yes,N/A,13,2,39,1.78,1,1.67
07/29/2023,08-04-2023,08-04-2023 00:00,Carrots,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northwest,2 lb bag,No,N/A,8,1.5,88,1.86,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Carrots,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northwest,per bunch,No,N/A,9,0.99,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Carrots,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northwest,per bunch,Yes,N/A,11,2.5,113,2.93,17,2.98
07/29/2023,08-04-2023,08-04-2023 00:00,mangoes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southwest,each,No,N/A,1236,0.82,1055,0.88,932,0.79
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northeast,2 lb package,No,N/A,72,4.99,131,4.99,439,5.15
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northeast,1 lb package,Yes,N/A,472,5.21,288,4.45,184,4.95
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northeast,1 lb package,No,N/A,1723,3.53,1948,3.82,850,3.08
07/29/2023,08-04-2023,08-04-2023 00:00,"apple, Processed",Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,JUICE,Northwest,64 oz (1/2 gallon),No,N/A,402,2.83,17,1.98,64,2.67
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,No,N/A,407,1.27,219,2.58,77,1.02
07/29/2023,08-04-2023,08-04-2023 00:00,Cactus Leaf (Nopales),Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Southwest,per lb,No,N/A,8,1.48,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,N/A,Northwest,per lb,No,N/A,52,2.58,0,0,56,1.64
07/29/2023,08-04-2023,08-04-2023 00:00,Limes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southwest,each,No,N/A,25,0.41,81,0.26,91,0.24
07/29/2023,08-04-2023,08-04-2023 00:00,Clementines,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southwest,2 lb bag,No,N/A,6,3.19,0,0,5,3.19
07/29/2023,08-04-2023,08-04-2023 00:00,Limes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southwest,per lb,No,N/A,115,1.04,114,0.85,166,0.72
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northwest,1 lb package,Yes,N/A,11,4.99,31,3.92,65,3.01
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Northwest,1 lb package,No,N/A,158,3.94,266,2.95,108,3.34
07/29/2023,08-04-2023,08-04-2023 00:00,Strawberries,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,N/A,Southeast,1 lb package,No,N/A,1771,2.67,1634,2.75,1103,2.99
07/29/2023,08-04-2023,08-04-2023 00:00,Lettuce,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Green Leaf,Southcentral,each,No,N/A,44,1.79,155,1.99,32,1.29
07/29/2023,08-04-2023,08-04-2023 00:00,Lettuce,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Green Leaf,Southcentral,each,Yes,N/A,92,1.79,0,0,230,2.24
07/29/2023,08-04-2023,08-04-2023 00:00,Peaches,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,VARIOUS YELLOW FLESH VARIETIES,Southeast,per lb,Yes,N/A,1195,2.99,1658,2.71,1282,3.02
07/29/2023,08-04-2023,08-04-2023 00:00,Peaches,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,VARIOUS YELLOW FLESH VARIETIES,Southeast,per lb,No,N/A,2941,2.22,3150,2.25,2298,1.81
07/29/2023,08-04-2023,08-04-2023 00:00,Papaya,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,BARTLETT,Southeast,per lb,No,N/A,228,2.49,0,0,1386,1.98
07/29/2023,08-04-2023,08-04-2023 00:00,grapes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,BLACK SEEDLESS,Southcentral,per lb,No,N/A,601,1.39,58,1.95,442,1.41
07/29/2023,08-04-2023,08-04-2023 00:00,watermelon,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,RED FLESH SEEDLESS TYPE,Southeast,per lb,No,N/A,2,4.98,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,watermelon,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,RED FLESH SEEDLESS TYPE,Southeast,each,No,N/A,2414,4.84,853,6.13,779,4.62
07/29/2023,08-04-2023,08-04-2023 00:00,grapes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,BLACK SEEDLESS,Southwest,per lb,No,N/A,386,1.65,309,2.38,1274,2.26
07/29/2023,08-04-2023,08-04-2023 00:00,Lettuce,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,Green Leaf,Southwest,each,Yes,N/A,23,1.79,199,1.81,18,1.79
07/29/2023,08-04-2023,08-04-2023 00:00,Cotton,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,WHITE,Southcentral,8 oz package,No,N/A,118,2,16,1.89,204,2.11
07/29/2023,08-04-2023,08-04-2023 00:00,Cotton,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,WHITE,Southcentral,8 oz package,Yes,N/A,27,3.29,127,3.28,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Peppers (Bell Type),Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,orange,Southeast,each,No,Greenhouse,15,1.99,30,1.5,527,1.51
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES - ON THE VINE,Southeast,per lb,No,Greenhouse,1867,1.5,1461,1.49,790,1.83
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES - ON THE VINE,Southwest,per lb,No,Greenhouse,133,1.22,273,1.54,1053,1.81
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES - ON THE VINE,Northwest,per lb,No,Greenhouse,196,1.37,376,1.61,64,1.12
07/29/2023,08-04-2023,08-04-2023 00:00,Cotton,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,WHITE,Southwest,8 oz package,No,N/A,105,1.55,8,1.49,198,2.78
07/29/2023,08-04-2023,08-04-2023 00:00,Peppers (Bell Type),Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,orange,Southwest,each,Yes,N/A,23,3.49,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Peppers (Bell Type),Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,orange,Northwest,per lb,Yes,N/A,26,3.49,0,0,0,0
07/29/2023,08-04-2023,08-04-2023 00:00,Peppers (Bell Type),Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,orange,Northwest,each,No,N/A,5,1.4,308,1.24,121,1.25
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES - ON THE VINE,Northeast,per lb,Yes,Greenhouse,24,2.79,41,2.87,300,3.83
07/29/2023,08-04-2023,08-04-2023 00:00,mothbeans,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Vegetables,VINE RIPES - ON THE VINE,Northeast,per lb,No,Greenhouse,334,1.91,1044,1.45,730,1.61
07/29/2023,08-04-2023,08-04-2023 00:00,grapes,Retail - Specialty Crops,3324,FVWRETAIL,National Retail Report - Specialty Crops (FVWRETAIL),Final,Fruit,RED SEEDLESS,Southcentral,per lb,No,N/A,1355,1.67,769,1.89,845,1.81
